epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25403,3.65124,5.73254,3.49114,2.68679,0.005,0.01531,0.00265,0.00129,0,0,0,0,3.51549,5.18953,3.60301,2.69767,0,0,0
2,7.7077,3.76727,4.71992,3.68054,2.42046,0.005,0.01531,0.00265,0.00129,0,0,0,0,3.49343,5.19781,3.6033,2.69013,0.0001,0.0001,0.0001
3,12.0154,3.35715,5.16081,3.43075,2.42705,0.005,0.01531,0.00263,0.00103,0,0,0,0,3.51065,5.17333,3.61245,2.6845,0.0002,0.0002,0.0002
4,15.1473,3.61123,5.53528,3.6532,2.52828,0.005,0.01531,0.00262,0.00112,0,0,0,0,3.53396,5.20323,3.61627,2.6927,0.0003,0.0003,0.0003
5,18.7288,3.33539,5.21637,3.63615,2.34014,0.005,0.01531,0.00259,0.00103,0,0,0,0,3.4885,5.10876,3.59425,2.68478,0.0004,0.0004,0.0004
6,22.9577,3.54964,5.71055,3.54934,2.65113,0.005,0.01531,0.00259,0.00094,0.00167,0.0051,0.00084,8e-05,3.50228,4.94049,3.58474,2.67749,0.0005,0.0005,0.0005
7,26.5005,3.50904,5.14354,3.64126,2.44637,0.00344,0.0102,0.00177,0.00106,0,0,0,0,3.3777,4.90677,3.56633,2.72343,0.0006,0.0006,0.0006
8,29.5415,3.54647,5.02533,3.49082,2.53914,0.005,0.01531,0.00259,0.00094,0,0,0,0,3.40992,4.66073,3.58702,2.67349,0.0007,0.0007,0.0007
9,32.3358,3.19223,4.95766,3.53079,2.37086,0.00502,0.01531,0.00262,0.00104,0.00167,0.0051,0.00085,9e-05,3.32469,4.4277,3.57764,2.62463,0.0008,0.0008,0.0008
10,35.2738,3.5468,4.35217,3.61228,2.38736,0.01,0.03061,0.00535,0.00157,0.00667,0.02041,0.00345,0.00069,3.32033,4.08146,3.5417,2.59599,0.0009,0.0009,0.0009
11,38.0302,3.63717,5.07509,3.53797,2.61383,0.00344,0.0102,0.00185,0.00116,0,0,0,0,3.41735,4.25023,3.61496,2.82397,0.001,0.001,0.001
12,41.008,3.55256,4.12341,3.5971,2.51127,0.00524,0.01531,0.00286,0.0011,0,0,0,0,3.45156,4.10927,3.60362,2.82172,0.0011,0.0011,0.0011
13,43.8587,3.37533,4.30922,3.67757,2.19963,0.00705,0.02041,0.0038,0.00176,0.00353,0.0102,0.00179,0.00027,3.40124,3.96533,3.59336,2.77716,0.0012,0.0012,0.0012
14,46.7468,3.30188,4.30733,3.51102,2.42805,0.00678,0.02041,0.00358,0.00178,0.00678,0.02041,0.00351,0.0007,3.31052,3.8747,3.55573,2.72353,0.0013,0.0013,0.0013
15,49.8381,3.21017,3.65616,3.54438,2.0106,0.01015,0.03061,0.00543,0.00276,0.00846,0.02551,0.00455,0.00108,3.26471,3.78728,3.52117,2.64847,0.0014,0.0014,0.0014
16,52.6455,3.44328,4.05438,3.57147,2.15987,0.01007,0.03061,0.00556,0.00234,0.00839,0.02551,0.00455,0.00107,3.25201,3.76596,3.5255,2.57859,0.0015,0.0015,0.0015
17,55.7021,2.96774,4.096,3.45285,2.14913,0.01167,0.03571,0.00645,0.00261,0.00833,0.02551,0.00471,0.00126,3.22899,3.6919,3.51702,2.5496,0.0016,0.0016,0.0016
18,58.6771,3.53819,4.49872,3.56295,2.27787,0.01167,0.03571,0.00645,0.00261,0.00833,0.02551,0.00471,0.00126,3.22899,3.6919,3.51702,2.5496,0.0017,0.0017,0.0017
19,62.1573,2.92138,3.55764,3.49433,1.99037,0.01015,0.03061,0.00571,0.0022,0.00846,0.02551,0.00454,0.001,3.26662,3.63998,3.53559,2.59712,0.0018,0.0018,0.0018
20,66.5219,3.05427,3.82934,3.43504,2.03467,0.01015,0.03061,0.00571,0.0022,0.00846,0.02551,0.00454,0.001,3.26662,3.63998,3.53559,2.59712,0.0019,0.0019,0.0019
21,69.6155,3.07615,4.15346,3.41636,2.13466,0.01007,0.03061,0.00581,0.00263,0.00671,0.02041,0.00365,0.00118,3.19158,3.6846,3.50232,2.54717,0.002,0.002,0.002
22,72.6218,2.94093,3.56942,3.52083,1.90256,0.01007,0.03061,0.00581,0.00263,0.00671,0.02041,0.00365,0.00118,3.19158,3.6846,3.50232,2.54717,0.0021,0.0021,0.0021
23,75.3639,2.98797,3.85969,3.51293,2.0643,0.01178,0.03571,0.00702,0.00292,0.00505,0.01531,0.00268,0.00097,3.08182,3.72093,3.47287,2.47827,0.0022,0.0022,0.0022
24,78.0526,2.78196,3.40786,3.31868,1.8857,0.01178,0.03571,0.00702,0.00292,0.00505,0.01531,0.00268,0.00097,3.08182,3.72093,3.47287,2.47827,0.0023,0.0023,0.0023
25,80.9146,2.83673,3.08554,3.49476,1.83521,0.01,0.03061,0.00579,0.00204,0.005,0.01531,0.00257,0.00077,3.10008,3.82627,3.52792,2.54757,0.0024,0.0024,0.0024
26,83.7216,2.7754,3.6137,3.34939,2.05358,0.01,0.03061,0.00579,0.00204,0.005,0.01531,0.00257,0.00077,3.10008,3.82627,3.52792,2.54757,0.0025,0.0025,0.0025
27,86.5049,2.81393,3.04515,3.44365,1.83415,0.00835,0.02551,0.00499,0.00167,0.00334,0.0102,0.00175,0.0006,3.23385,3.88257,3.56451,2.67299,0.0026,0.0026,0.0026
28,89.382,3.27544,3.99378,3.39944,2.05261,0.00835,0.02551,0.00499,0.00167,0.00334,0.0102,0.00175,0.0006,3.23385,3.88257,3.56451,2.67299,0.0027,0.0027,0.0027
29,92.0666,2.907,3.91581,3.26905,1.95883,0.00855,0.02551,0.00458,0.00215,0.00342,0.0102,0.00184,0.00045,3.35522,3.90609,3.53096,2.57478,0.0028,0.0028,0.0028
30,95.1642,2.66723,3.0477,3.34048,1.79485,0.00855,0.02551,0.00458,0.00215,0.00342,0.0102,0.00184,0.00045,3.35522,3.90609,3.53096,2.57478,0.0029,0.0029,0.0029
